gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.435897435897436,0.564102564102564,0,22.9,14.4,0.629338560200098,0.115076968231681,0.0673873162057022,0.782129001932384
ENSG00000000005,0.282051282051282,0.205128205128205,0.512820512820513,9.9,24.66,0.915051562874618,0.803911698330266,0.591267424521752,0.521076920933405
ENSG00000000419,0.358974358974359,0.615384615384615,0.0256410256410256,17.66,10.28,0.802703811062532,0.0676368101797058,0.211946042820563,0.857950226374264
ENSG00000000457,0.641025641025641,0.358974358974359,-5.55111512312578e-17,4.8,20.09,0.144615760564585,0.489903264824465,0.818077762699646,0.646717923918312
ENSG00000000460,0.282051282051282,0.717948717948718,0,19.28,7.4,0.915051562874618,0.0187192124289536,0.155096781816174,0.898862801230802
ENSG00000000938,0.307692307692308,0.358974358974359,0.333333333333333,22.97,11.3,0.884696433753171,0.489903264824465,0.0661836872341033,0.841084636169
ENSG00000000971,0.666666666666667,0.230769230769231,0.102564102564103,11.8,57.29,0.108685721938951,0.760789783988833,0.491421365113458,0.011979393915021
ENSG00000001036,0.384615384615385,0.58974358974359,0.0256410256410257,14.53,12.7,0.750980908572528,0.0890233280636048,0.350475508660095,0.815883098639303
ENSG00000001084,0.435897435897436,0.512820512820513,0.0512820512820513,8,17.9,0.629338560200098,0.182388627479079,0.685494042720245,0.702483294228109
ENSG00000001167,0.435897435897436,0.538461538461538,0.0256410256410257,9.88,13.27,0.629338560200098,0.146140467160105,0.592298812922265,0.804946386243104
ENSG00000001460,0.564102564102564,0.435897435897436,0,6.4,21.29,0.295084086441793,0.3206773381531,0.756657487279276,0.614664864831353
ENSG00000001461,0.564102564102564,0.41025641025641,0.0256410256410257,9.5,11.7,0.295084086441793,0.374873037475277,0.611765957245872,0.834126295209606
ENSG00000001497,0.41025641025641,0.538461538461538,0.0512820512820513,10.3,10.1,0.692813403887555,0.146140467160105,0.570516092102588,0.860795844963296
ENSG00000001561,0.538461538461538,0.358974358974359,0.102564102564103,12.7,25.6,0.3576103944165,0.489903264824465,0.443926629558168,0.494531419517705
ENSG00000001617,0.41025641025641,0.538461538461538,0.0512820512820513,21.8,31.59,0.692813403887555,0.146140467160105,0.0885945023629836,0.330736172510296
ENSG00000001626,0.641025641025641,0.205128205128205,0.153846153846154,4.1,79.9,0.144615760564585,0.803911698330266,0.841591617512686,5.6953038526486e-05
ENSG00000001629,0.512820512820513,0.461538461538462,0.0256410256410257,8.59,16.32,0.424217905237785,0.270058213187861,0.657176219875845,0.740031201344544
ENSG00000001630,0.564102564102564,0.435897435897436,0,10.68,32,0.295084086441793,0.3206773381531,0.550619208891775,0.320280404867162
