gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.485714285714286,0.4,0.114285714285714,53.69,72.32,0.235837620303713,0.405896579938953,0.379750930121561,0.107395684327968
ENSG00000000005,0.357142857142857,0.271428571428571,0.371428571428571,45.26,33.84,0.542921226740492,0.743548141112108,0.535573594102401,0.677623794138783
ENSG00000000419,0.521428571428571,0.428571428571429,0.05,46.31,66.54,0.171149752290908,0.331261453962048,0.515967893287829,0.162334233285478
ENSG00000000457,0.4,0.557142857142857,0.0428571428571428,55.55,38.77,0.433270126383022,0.0919456008264041,0.347018896509875,0.596021625957622
ENSG00000000460,0.492857142857143,0.464285714285714,0.0428571428571428,46.54,66.26,0.221918156597287,0.246882906324781,0.511666492987027,0.165393923035016
ENSG00000000938,0.328571428571429,0.492857142857143,0.178571428571429,83.85,30.06,0.614740617935409,0.188712493009767,0.0426399003662183,0.735068013605525
ENSG00000000971,0.421428571428571,0.542857142857143,0.0357142857142857,127.46,70.51,0.379809929611361,0.109402977691063,8.27957758251507e-05,0.122930664136585
ENSG00000001036,0.55,0.271428571428571,0.178571428571429,17.87,74,0.128495459702483,0.743548141112108,0.915288800977822,0.0942908730078591
ENSG00000001084,0.564285714285714,0.378571428571429,0.0571428571428572,60.2,49.86,0.110196796801684,0.464392351898305,0.270435150310963,0.402326336646194
ENSG00000001167,0.392857142857143,0.557142857142857,0.05,40.08,28.63,0.451417995585504,0.0919456008264041,0.630155362245835,0.755357787760652
ENSG00000001460,0.528571428571429,0.335714285714286,0.135714285714286,38.08,51.71,0.159720650511329,0.58242643881693,0.66497456988601,0.37102641387668
ENSG00000001461,0.471428571428571,0.478571428571429,0.05,55.54,50.21,0.265065589150356,0.216669366967798,0.347192109902597,0.396349667806306
ENSG00000001497,0.464285714285714,0.464285714285714,0.0714285714285714,41.56,34.17,0.280340370780389,0.246882906324781,0.60366419476559,0.672371828768667
ENSG00000001561,0.392857142857143,0.514285714285714,0.092857142857143,74.92,75.41,0.451417995585504,0.151178943341605,0.0964643935426336,0.0842351640836748
ENSG00000001617,0.392857142857143,0.435714285714286,0.171428571428571,54.26,50.91,0.451417995585504,0.313479195630069,0.369615526598816,0.384470430539043
ENSG00000001626,0.342857142857143,0.385714285714286,0.271428571428571,60.13,43.49,0.579160452194812,0.444743337548822,0.271522778277633,0.513699890868011
ENSG00000001629,0.414285714285714,0.421428571428571,0.164285714285714,46.08,32.36,0.397429993098456,0.349432601662095,0.520267436092508,0.700732728123859
ENSG00000001630,0.235714285714286,0.0928571428571429,0.671428571428571,14.79,46.7,0.813098624502803,0.970875415292953,0.935560168225043,0.457157707665291
ENSG00000001631,0.0571428571428571,0.3,0.642857142857143,33,3.69,0.979262534390522,0.675806384713533,0.746771353741965,0.963615672214609
ENSG00000002016,0.35,0.535714285714286,0.114285714285714,49.43,21.57,0.561104877504938,0.118974341965955,0.457667182547806,0.84222302086681
ENSG00000002330,0.657142857142857,0.3,0.0428571428571429,26.28,85.06,0.0341396856398934,0.675806384713533,0.836352513229849,0.0356272008680968
ENSG00000002549,0.521428571428571,0.392857142857143,0.0857142857142857,56.99,78.12,0.171149752290908,0.425229198399594,0.32242547935427,0.0672005136036227
ENSG00000002586,0.621428571428571,0.364285714285714,0.0142857142857143,30.69,77.77,0.0555483515769661,0.503903836203812,0.780155513690841,0.0692375769698514
ENSG00000002587,0.292857142857143,0.564285714285714,0.142857142857143,109.47,58.66,0.699015798350985,0.0840323868153075,0.00173566995092356,0.262238048680221
ENSG00000002726,0.564285714285714,0.171428571428571,0.264285714285714,34.68,80.41,0.110196796801684,0.911241582089344,0.720914685938577,0.0549956169212856
ENSG00000002745,0.278571428571429,0.457142857142857,0.264285714285714,64.55,40.97,0.730234432477575,0.262795159876346,0.207381210732209,0.557952524957643
ENSG00000002746,0.457142857142857,0.321428571428571,0.221428571428571,48.48,41.43,0.296029188732066,0.62067894289663,0.47538047500699,0.549912082520365
ENSG00000002822,0.214285714285714,0.142857142857143,0.642857142857143,16,21.17,0.847859951035321,0.939039365276221,0.928098918297391,0.846449529931522
ENSG00000002834,0.6,0.335714285714286,0.0642857142857143,34.85,71.66,0.0727851243852878,0.58242643881693,0.718228428842735,0.11288775483906
ENSG00000002919,0.428571428571429,0.4,0.171428571428571,31.48,38.26,0.362435957396067,0.405896579938953,0.769031870248794,0.604732014030916
ENSG00000002933,0.492857142857143,0.307142857142857,0.2,34.39,84.71,0.221918156597287,0.657784463574506,0.725468182983309,0.0368576898137534
ENSG00000003056,0.607142857142857,0.3,0.0928571428571429,25.45,48.51,0.0666347461006044,0.675806384713533,0.845782060268108,0.425581768121802
ENSG00000003096,0.428571428571429,0.364285714285714,0.207142857142857,28.48,52.01,0.362435957396067,0.503903836203812,0.80958887910566,0.366024227476511
ENSG00000003137,0.414285714285714,0.45,0.135714285714286,66.36,62.3,0.397429993098456,0.27921604316373,0.183942384841043,0.212603743846378
ENSG00000003147,0.428571428571429,0.471428571428571,0.1,51.6,59.47,0.362435957396067,0.23150137687754,0.417575424848317,0.250703193078701
ENSG00000003249,0.378571428571429,0.421428571428571,0.2,56.74,48.07,0.4879819406018,0.349432601662095,0.32664356371219,0.433221815141779
ENSG00000003393,0.257142857142857,0.628571428571429,0.114285714285714,61.31,26.25,0.773808303309865,0.0340256501403609,0.253484744640496,0.787184321652825
ENSG00000003400,0.392857142857143,0.514285714285714,0.092857142857143,58.59,39.54,0.451417995585504,0.151178943341605,0.295986977678715,0.582781294940702
ENSG00000003402,0.435714285714286,0.535714285714286,0.0285714285714286,62.66,60.79,0.345340805452087,0.118974341965955,0.233647321159372,0.232497050611617
ENSG00000003436,0.507142857142857,0.471428571428571,0.0214285714285715,98.4,114.43,0.195534227114735,0.23150137687754,0.00812320469564731,0.000959220941100569
ENSG00000003509,0.442857142857143,0.478571428571429,0.0785714285714286,46.05,35.71,0.328555509746258,0.216669366967798,0.52082808292785,0.647423658165061
ENSG00000003756,0.285714285714286,0.6,0.114285714285714,53.94,27,0.714828715246375,0.0519378472429688,0.375294934787579,0.777424822093247
ENSG00000003987,0.278571428571429,0.535714285714286,0.185714285714286,80.18,35.48,0.730234432477575,0.118974341965955,0.0607277883586235,0.651193468270664
ENSG00000003989,0.385714285714286,0.492857142857143,0.121428571428571,80.95,67.83,0.469667990257646,0.188712493009767,0.0565046438324353,0.148716819970724
ENSG00000004059,0.278571428571429,0.0714285714285714,0.65,3.19,37.5,0.730234432477575,0.979451864885115,0.9804271538776,0.617614448147616
ENSG00000004139,0.378571428571429,0.514285714285714,0.107142857142857,54.66,28.59,0.4879819406018,0.151178943341605,0.362556203411185,0.755913051135191
ENSG00000004142,0.621428571428571,0.292857142857143,0.0857142857142857,23.63,61.77,0.0555483515769661,0.693425508848161,0.865177330243697,0.219470381340188
ENSG00000004399,0.392857142857143,0.521428571428571,0.0857142857142858,56.8,55.87,0.451417995585504,0.13985523506382,0.325629174264376,0.303944621961675
ENSG00000004455,0.6,0.364285714285714,0.0357142857142858,32.56,72.8,0.0727851243852878,0.503903836203812,0.753329003540235,0.103524239768215
ENSG00000004468,0.307142857142857,0.521428571428571,0.171428571428571,109.9,67.67,0.666264584077443,0.13985523506382,0.0016265065082115,0.150363054497024
ENSG00000004478,0.578571428571429,0.357142857142857,0.0642857142857142,28.58,66.58,0.0938468606742208,0.523669473233286,0.808311684628685,0.161900161748521
ENSG00000004487,0.642857142857143,0.285714285714286,0.0714285714285714,26.66,43.96,0.0417073012340741,0.710608556743239,0.831913013538843,0.505411156340633
ENSG00000004534,0.328571428571429,0.585714285714286,0.0857142857142858,54.97,23.87,0.614740617935409,0.0633571132270289,0.357117044651617,0.816453422331332
ENSG00000004660,0.371428571428571,0.471428571428571,0.157142857142857,69.67,52.83,0.5063212725496,0.23150137687754,0.145551808584453,0.352469510431898
ENSG00000004700,0.485714285714286,0.45,0.0642857142857142,63.1,40.6,0.235837620303713,0.27921604316373,0.227372810642536,0.564402715685555
ENSG00000004766,0.428571428571429,0.492857142857143,0.0785714285714285,60.25,30.76,0.362435957396067,0.188712493009767,0.269659608426954,0.724833131587767
ENSG00000004776,0.478571428571429,0.371428571428571,0.15,47.79,79.22,0.250225312889712,0.48412860913457,0.488278523128035,0.0610992147045135
ENSG00000004777,0.507142857142857,0.421428571428571,0.0714285714285715,41.43,66.03,0.195534227114735,0.349432601662095,0.606012396808093,0.16793496857613
ENSG00000004779,0.578571428571429,0.328571428571429,0.0928571428571428,28.72,64.7,0.0938468606742208,0.601674842208974,0.806514822634006,0.183118107086373
ENSG00000004799,0.457142857142857,0.45,0.0928571428571429,69.59,142.19,0.296029188732066,0.27921604316373,0.146410983101607,7.45186654449448e-06
ENSG00000004809,0.285714285714286,0.35,0.364285714285714,41.26,35.14,0.714828715246375,0.543377030968153,0.609077304195786,0.656738901270255
ENSG00000004838,0.264285714285714,0.157142857142857,0.578571428571429,33.6,48.89,0.759741841994902,0.926135498925371,0.737683517156149,0.419005848238795
ENSG00000004846,0.228571428571429,0.35,0.421428571428572,55.48,24.8,0.825195487016114,0.543377030968153,0.348232059587098,0.805328007199099
ENSG00000004848,0.357142857142857,0.292857142857143,0.35,71.59,61.75,0.542921226740492,0.693425508848161,0.125946305219075,0.219731970264613
ENSG00000004864,0.485714285714286,0.457142857142857,0.0571428571428571,49.05,53.55,0.235837620303713,0.262795159876346,0.464744400753432,0.340719688415152
ENSG00000004866,0.471428571428571,0.435714285714286,0.0928571428571429,46.69,52.25,0.265065589150356,0.313479195630069,0.508860469327987,0.362038763132649
ENSG00000004897,0.35,0.585714285714286,0.0642857142857143,59.26,33.11,0.561104877504938,0.0633571132270289,0.285219464644389,0.689115418946531
ENSG00000004939,0.328571428571429,0.435714285714286,0.235714285714286,60.12,37.2,0.614740617935409,0.313479195630069,0.271678331361053,0.622664870780531
