gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.503649635036496,0.364963503649635,0.131386861313869,66.52,116.99,0.177315730448168,0.510628544700235,0.60237074506474,0.17857313606008
ENSG00000000005,0.248175182481752,0.299270072992701,0.452554744525547,53.8,66.97,0.789336015966265,0.699044495581172,0.729038075922556,0.616080233923983
ENSG00000000419,0.478102189781022,0.372262773722628,0.14963503649635,54.87,94.02,0.225825056753584,0.488689076296366,0.719187443497611,0.35852623065982
ENSG00000000457,0.5,0.41970802919708,0.0802919708029197,65.35,83.1,0.183812170007555,0.349799116810741,0.614749697943996,0.461391525086842
ENSG00000000460,0.583941605839416,0.372262773722628,0.0437956204379563,72.04,170.17,0.0708780448717411,0.488689076296366,0.542772140612953,0.0134262063864302
ENSG00000000938,0.386861313868613,0.339416058394161,0.273722627737226,118.62,60.34,0.446347638731539,0.586732859741276,0.119838767146554,0.675942215299338
ENSG00000000971,0.507299270072993,0.364963503649635,0.127737226277372,81.19,191.51,0.170966193047072,0.510628544700235,0.442493806861828,0.00314330123091311
ENSG00000001036,0.503649635036496,0.375912408759124,0.12043795620438,73.09,113.65,0.177315730448168,0.477728021437974,0.531282476379179,0.200561054915896
ENSG00000001084,0.481751824817518,0.45985401459854,0.0583941605839415,73.18,102.4,0.218467958731043,0.245610343873649,0.530296297190259,0.285654704713811
ENSG00000001167,0.547445255474453,0.354014598540146,0.0985401459854014,49.83,90.25,0.110820937889882,0.54345686470629,0.764014018890761,0.39329174601776
ENSG00000001460,0.375912408759124,0.503649635036496,0.120437956204379,92.82,53.07,0.475774445146375,0.154249920003684,0.320951554264962,0.736672368018042
ENSG00000001461,0.456204379562044,0.481751824817518,0.0620437956204379,114.69,100.5,0.272788363849535,0.196726594385648,0.142866914063338,0.30155482644116
ENSG00000001497,0.496350364963504,0.372262773722628,0.131386861313869,57.09,91.78,0.190454853193798,0.488689076296366,0.698214283956058,0.379062068297745
ENSG00000001561,0.416058394160584,0.478102189781022,0.105839416058394,170.66,104.11,0.369725039799181,0.204438574974668,0.00453476952550369,0.271694783283562
ENSG00000001617,0.416058394160584,0.427007299270073,0.156934306569343,119.32,78.6,0.369725039799181,0.329655761334729,0.116028437045394,0.504974380967378
ENSG00000001626,0.386861313868613,0.408759124087591,0.204379562043796,101,100.76,0.446347638731539,0.380807267494913,0.244975411766045,0.29935564076788
ENSG00000001629,0.54014598540146,0.335766423357664,0.124087591240876,54.15,96.22,0.120447616056377,0.597410113959997,0.7258349600089,0.338747324020458
