gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000073350,0.240875912408759,0.682481751824818,0.0766423357664233,168.9,37.79,0.803320397694835,0.00899314014789476,0.00521952598390074,0.842452046243029
ENSG00000007402,0.222627737226277,0.671532846715328,0.105839416058394,192.91,31.14,0.835739125897364,0.011203441628722,0.000635656838891552,0.878243811272695
ENSG00000090238,0.288321167883212,0.667883211678832,0.0437956204379563,198.41,48.12,0.702740762255053,0.0120384987328371,0.000370563062625617,0.774412546773534
ENSG00000160570,0.266423357664234,0.660583941605839,0.0729927007299269,143.55,45.6,0.751926615904784,0.0138716471044018,0.0312607259263854,0.792383856492637
ENSG00000064687,0.273722627737226,0.656934306569343,0.0693430656934307,160.23,47.24,0.736026560838539,0.0148752330753489,0.0101140462954048,0.780786172687781
ENSG00000107902,0.259124087591241,0.656934306569343,0.0839416058394161,147.83,37.94,0.767300875815713,0.0148752330753489,0.0238243909658396,0.841572114891233
ENSG00000131748,0.197080291970803,0.656934306569343,0.145985401459854,101.44,24.7,0.874942895523307,0.0148752330753489,0.24118107606527,0.90705122077122
ENSG00000105643,0.240875912408759,0.653284671532847,0.105839416058394,175.29,42.93,0.803320397694835,0.015940627770458,0.00310038136655944,0.810470102393308
ENSG00000123933,0.277372262773723,0.64963503649635,0.072992700729927,126.62,52.9,0.727886148435183,0.0170707828758854,0.0813298651514791,0.738019917361398
ENSG00000158773,0.200729927007299,0.64963503649635,0.14963503649635,101.99,23.97,0.869781981547863,0.0170707828758854,0.23648343168212,0.909968294137263
ENSG00000167508,0.284671532846715,0.645985401459854,0.0693430656934306,114.36,49.29,0.711239887281605,0.018268728610714,0.144928314440286,0.765778361618464
ENSG00000108771,0.266423357664234,0.642335766423358,0.0912408759124087,127.59,57.02,0.751926615904784,0.0195375713911823,0.0773819909308736,0.704398304700137
ENSG00000135643,0.262773722627737,0.642335766423358,0.0948905109489051,185.86,55.85,0.759680726402981,0.0195375713911823,0.0012302377387714,0.714145524965378
ENSG00000163050,0.295620437956204,0.642335766423358,0.0620437956204379,127.57,56.51,0.685408768167372,0.0195375713911823,0.0774618935869267,0.708665870265023
ENSG00000213445,0.281021897810219,0.642335766423358,0.0766423357664233,123.81,47.23,0.71962283569173,0.0195375713911823,0.0936229496430965,0.780858000345152
ENSG00000011243,0.281021897810219,0.638686131386861,0.0802919708029196,121.8,40.04,0.71962283569173,0.0208804911176412,0.103223147429288,0.828915351614496
ENSG00000144567,0.255474452554745,0.638686131386861,0.105839416058394,98.69,48.63,0.77478480740973,0.0208804911176412,0.265411626589986,0.770671255587135
ENSG00000102981,0.222627737226277,0.635036496350365,0.142335766423358,140.68,44.99,0.835739125897364,0.0223007380723237,0.0372512507561883,0.796603384583944
ENSG00000127220,0.248175182481752,0.635036496350365,0.116788321167883,117.28,41.4,0.789336015966265,0.0223007380723237,0.127377007570372,0.820382893766875
ENSG00000140398,0.255474452554745,0.635036496350365,0.10948905109489,124.49,36.7,0.77478480740973,0.0223007380723237,0.0905291880617476,0.84874958890198
ENSG00000214530,0.302919708029197,0.635036496350365,0.0620437956204379,159.21,49.91,0.667658262678639,0.0223007380723237,0.0108955253208308,0.761129845293491
ENSG00000132819,0.317518248175182,0.631386861313869,0.051094890510949,114.84,48.99,0.631041288881662,0.0238016294171152,0.141936496769904,0.76800953725582
ENSG00000179832,0.288321167883212,0.631386861313869,0.0802919708029198,126.07,48.2,0.702740762255053,0.0238016294171152,0.0836348435614909,0.773827971640613
ENSG00000067606,0.273722627737226,0.627737226277372,0.0985401459854015,159.71,45.5,0.736026560838539,0.0253865452817598,0.0105061140273378,0.793079105502055
ENSG00000130821,0.302919708029197,0.627737226277372,0.0693430656934306,168.59,53.52,0.667658262678639,0.0253865452817598,0.00534923983846869,0.733088320521709
ENSG00000162066,0.240875912408759,0.627737226277372,0.131386861313869,118.63,33.84,0.803320397694835,0.0253865452817598,0.11978371994058,0.864467599172403
ENSG00000108840,0.31021897810219,0.624087591240876,0.0656934306569343,124.19,53.46,0.649523479647857,0.0270589244342835,0.0918845966311501,0.733567613549909
ENSG00000155287,0.266423357664234,0.624087591240876,0.10948905109489,119.82,37.88,0.751926615904784,0.0270589244342835,0.113359954489208,0.84192447354662
ENSG00000179094,0.240875912408759,0.624087591240876,0.135036496350365,149.07,41.13,0.803320397694835,0.0270589244342835,0.0219707877649946,0.822097774587616
ENSG00000186716,0.295620437956204,0.624087591240876,0.0802919708029197,145.89,48.42,0.685408768167372,0.0270589244342835,0.0269871238338942,0.772215984198056
ENSG00000039650,0.306569343065693,0.62043795620438,0.0729927007299269,101.26,45.67,0.658636660852178,0.028822259526907,0.242729431706244,0.791896361955139
ENSG00000090581,0.240875912408759,0.62043795620438,0.138686131386861,98.78,31.3,0.803320397694835,0.028822259526907,0.264599515702336,0.877455932909648
ENSG00000122490,0.255474452554745,0.62043795620438,0.124087591240876,121.07,41.5,0.77478480740973,0.028822259526907,0.106881006410712,0.819745125264943
ENSG00000171159,0.284671532846715,0.62043795620438,0.0948905109489051,131.05,43.52,0.711239887281605,0.028822259526907,0.0644792048419853,0.806559273874695
ENSG00000174871,0.186131386861314,0.62043795620438,0.193430656934307,149.91,29.76,0.889562492802469,0.028822259526907,0.020785543642084,0.884891716508935
ENSG00000177169,0.295620437956204,0.62043795620438,0.083941605839416,131.67,41.8,0.685408768167372,0.028822259526907,0.0623547998656403,0.817823306459826
ENSG00000186642,0.284671532846715,0.62043795620438,0.0948905109489051,203.92,59.58,0.711239887281605,0.028822259526907,0.000211192295097806,0.682555807671932
ENSG00000103249,0.266423357664234,0.616788321167883,0.116788321167883,119.6,35.26,0.751926615904784,0.0306800919123156,0.114528644450827,0.856809113727126
ENSG00000130748,0.321167883211679,0.616788321167883,0.0620437956204379,136.51,47.7,0.621682104937916,0.0306800919123156,0.0475946283535291,0.777467500716829
ENSG00000133460,0.277372262773723,0.616788321167883,0.105839416058394,103.46,33.91,0.727886148435183,0.0306800919123156,0.224178628614777,0.864096773564533
ENSG00000146830,0.244525547445256,0.616788321167883,0.138686131386861,90.39,28.14,0.796399804706573,0.0306800919123156,0.345279521503978,0.892361396014581
ENSG00000160796,0.313868613138686,0.616788321167883,0.0693430656934307,126.15,46.26,0.640323408685718,0.0306800919123156,0.0832965564366038,0.787760708955437
ENSG00000163517,0.237226277372263,0.616788321167883,0.145985401459854,129.87,38.49,0.810096558998569,0.0306800919123156,0.0686772873325159,0.838318171696731
