gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.527272727272727,0.345454545454545,0.127272727272727,23.18,31.7,0.17964549682307,0.487247720337666,0.235205607710201,0.198341393180109
ENSG00000000005,0.127272727272727,0.418181818181818,0.454545454545455,30.89,7.87,0.872064654191184,0.30449415095091,0.0665980480328652,0.841601353913726
ENSG00000000419,0.745454545454546,0.2,0.0545454545454545,4.39,46.39,0.0208504558564583,0.823068982505157,0.880731728688867,0.0234532779100367
ENSG00000000457,0.727272727272727,0.254545454545455,0.0181818181818182,7.5,37.06,0.0259973279638542,0.714800390156269,0.806233579390376,0.103229093714543
ENSG00000000460,0.581818181818182,0.309090909090909,0.109090909090909,11.78,39.5,0.115719385306804,0.582308626753041,0.666842674193777,0.0731606820492361
ENSG00000000938,0.272727272727273,0.454545454545455,0.272727272727273,24.49,13.56,0.651616389486777,0.226238516933174,0.196467600198725,0.712143320271304
ENSG00000000971,0.509090909090909,0.381818181818182,0.109090909090909,26.77,64.74,0.20513963213022,0.39290928099053,0.138980585036376,0.000324039492245465
ENSG00000001036,0.472727272727273,0.236363636363636,0.290909090909091,8.69,25.35,0.262136357846428,0.754069061179721,0.771483393795556,0.361310991535491
ENSG00000001084,0.618181818181818,0.2,0.181818181818182,10.3,30.58,0.0832879601113552,0.823068982505157,0.719346726656694,0.223425290955912
ENSG00000001167,0.454545454545455,0.309090909090909,0.236363636363636,8.65,20.78,0.293407127573982,0.582308626753041,0.772705567971945,0.499825570270761
ENSG00000001460,0.581818181818182,0.272727272727273,0.145454545454546,7.9,27.07,0.115719385306804,0.672770668613508,0.794928872438052,0.312638074703029
ENSG00000001461,0.636363636363636,0.327272727272727,0.0363636363636364,15,36.07,0.0698908045517906,0.535028356770087,0.542023715836765,0.117699635339061
ENSG00000001497,0.4,0.454545454545455,0.145454545454545,18.57,16.07,0.396077051555555,0.226238516933174,0.399151326453431,0.642422968720648
ENSG00000001561,0.618181818181818,0.254545454545455,0.127272727272727,10.18,29.19,0.0832879601113552,0.714800390156269,0.723422475934608,0.256927698472176
ENSG00000001617,0.309090909090909,0.381818181818182,0.309090909090909,18.89,16.38,0.580455456391798,0.39290928099053,0.386707846386982,0.633408491785807
ENSG00000001626,0.290909090909091,0.327272727272727,0.381818181818182,20.9,20.3,0.616527541080969,0.535028356770087,0.311640439104287,0.514677347035442
ENSG00000001629,0.654545454545455,0.109090909090909,0.236363636363636,2.8,35.08,0.0582169289676484,0.936564589541366,0.909790939633264,0.133550086288081
ENSG00000001630,0.218181818181818,0.0181818181818182,0.763636363636364,2,12.5,0.748453793610475,0.983248073164834,0.922251829152763,0.739526721730714
ENSG00000001631,0.218181818181818,0.0545454545454545,0.727272727272727,2.3,7.4,0.748453793610475,0.970367284734234,0.917741614989285,0.850253556548147
ENSG00000002016,0.290909090909091,0.472727272727273,0.236363636363636,10.2,14.7,0.616527541080969,0.191828290887703,0.722745203801576,0.681258588301136
ENSG00000002330,0.272727272727273,0.581818181818182,0.145454545454546,27.16,14.6,0.651616389486777,0.0558610852164514,0.130430959794405,0.684023101904591
ENSG00000002549,0.6,0.2,0.2,9.18,41.17,0.0985295828711761,0.823068982505157,0.756215724571448,0.0568020249715665
ENSG00000002586,0.581818181818182,0.363636363636364,0.0545454545454546,15.07,43.37,0.115719385306804,0.43964965162914,0.539213880463768,0.0398125663899644
