gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.666666666666667,0.288888888888889,0.0444444444444445,14.1,18.39,0.298520759842276,0.569138969936672,0.503122227325169,0.617659722087905
ENSG00000000005,0.644444444444445,0.2,0.155555555555556,31.9,12.19,0.327862751425044,0.706254201437536,0.0684984417886376,0.75632188250953
ENSG00000000419,0.155555555555556,0.844444444444445,0,18.7,6.79,0.915681654357454,0.0166833322155665,0.352531588861318,0.850529888619434
ENSG00000000457,0.355555555555556,0.644444444444445,-1.11022302462516e-16,6.49,13.38,0.736000048821271,0.0969743566893243,0.741163192887931,0.731933395717261
ENSG00000000460,0.666666666666667,0.333333333333333,5.55111512312578e-17,21.2,38.98,0.298520759842276,0.49602516675282,0.27811457562045,0.155520721578584
ENSG00000000938,0.711111111111111,0.222222222222222,0.0666666666666667,12.9,32.08,0.243736299782789,0.673789544118797,0.54324239175684,0.283240310656806
ENSG00000000971,0.777777777777778,0.155555555555556,0.0666666666666667,7.08,97.78,0.172879813053862,0.766270819291846,0.724875067484577,9.63785610874623e-07
ENSG00000001036,0.8,0.133333333333333,0.0666666666666666,6.9,31.88,0.152520425732804,0.793519405400728,0.729897380206102,0.287571059763064
ENSG00000001084,0.288888888888889,0.711111111111111,0,29.6,12.17,0.810454923207129,0.0576045483735971,0.0978487055717289,0.756721282498198
ENSG00000001167,0.777777777777778,0.2,0.0222222222222222,6.58,19.19,0.172879813053862,0.706254201437536,0.738711198656912,0.598067870042211
ENSG00000001460,0.711111111111111,0.222222222222222,0.0666666666666667,4.5,29.96,0.243736299782789,0.673789544118797,0.792195120003532,0.330650971487413
ENSG00000001461,0.844444444444445,0.111111111111111,0.0444444444444445,2.6,37.2,0.116756550628334,0.818790854218501,0.834879557268105,0.184170744773778
ENSG00000001497,0.688888888888889,0.311111111111111,0,14.4,23.68,0.270435301261412,0.532720156371483,0.493071318050692,0.484908631367701
ENSG00000001561,0.244444444444444,0.711111111111111,0.0444444444444444,47.2,13.5,0.852045934673457,0.0576045483735971,0.00278560860287624,0.729407565563519
ENSG00000001617,0.622222222222222,0.311111111111111,0.0666666666666667,21.09,26.67,0.358307979063167,0.532720156371483,0.281222534524893,0.409661382190737
ENSG00000001626,0.688888888888889,0.2,0.111111111111111,23,30.89,0.270435301261412,0.706254201437536,0.22976506797066,0.309455858909193
ENSG00000001629,0.733333333333333,0.222222222222222,0.0444444444444445,7.5,30.35,0.218528781668061,0.673789544118797,0.712980472466056,0.321691346829755
ENSG00000001630,0.2,0.0444444444444444,0.755555555555556,2,10.5,0.887037552315773,0.882383396599862,0.847086727838647,0.788792420979604
ENSG00000001631,0.0666666666666667,0.177777777777778,0.755555555555556,4.1,1.2,0.956176884338414,0.73713825615485,0.801684809969034,0.918493272939533
ENSG00000002016,0.333333333333333,0.666666666666667,1.11022302462516e-16,14,14.2,0.76235530696122,0.0821037541243751,0.506472405068736,0.714440802796411
ENSG00000002330,0.777777777777778,0.222222222222222,0,6.68,41.17,0.172879813053862,0.673789544118797,0.735972832813973,0.124531781921823
ENSG00000002549,0.733333333333333,0.266666666666667,5.55111512312578e-17,7.4,29.17,0.218528781668061,0.604978780958248,0.715834502234214,0.34909578947697
ENSG00000002586,0.822222222222222,0.177777777777778,2.77555756156289e-17,4.4,33.78,0.133818512111396,0.73713825615485,0.794592346623661,0.247746563453843
ENSG00000002587,0.688888888888889,0.266666666666667,0.0444444444444445,11.49,52.99,0.270435301261412,0.604978780958248,0.589796490907577,0.0283239346047276
ENSG00000002726,0.644444444444445,0.266666666666667,0.0888888888888889,18.09,119.39,0.327862751425044,0.604978780958248,0.371733687604095,4.1713554832512e-10
ENSG00000002745,0.2,0.755555555555556,0.0444444444444445,21.57,8.07,0.887037552315773,0.0392589354315887,0.26778516888966,0.830747467846667
ENSG00000002746,0.711111111111111,0.222222222222222,0.0666666666666667,19.7,29.26,0.243736299782789,0.673789544118797,0.321869482111711,0.346975378566154
ENSG00000002834,0.8,0.177777777777778,0.0222222222222222,11.18,37.68,0.152520425732804,0.73713825615485,0.599887600727505,0.17613922928173
ENSG00000002919,0.866666666666667,0.111111111111111,0.0222222222222222,3.6,33.06,0.101297122102542,0.818790854218501,0.813171992871345,0.262483954678487
ENSG00000002933,0.777777777777778,0.155555555555556,0.0666666666666667,7.08,62.69,0.172879813053862,0.766270819291846,0.724875067484577,0.00579672541846432
ENSG00000003056,0.688888888888889,0.288888888888889,0.0222222222222223,6.08,28.26,0.270435301261412,0.569138969936672,0.752180848130253,0.37079042854349
ENSG00000003096,0.6,0.311111111111111,0.0888888888888889,13.5,24.7,0.389682018044296,0.532720156371483,0.523211726301821,0.459040643532708
ENSG00000003137,0.288888888888889,0.666666666666667,0.0444444444444445,10.2,38.07,0.810454923207129,0.0821037541243751,0.631322984884628,0.169779494454865
ENSG00000003147,0.266666666666667,0.711111111111111,0.0222222222222223,22,8.86,0.832078462556904,0.0576045483735971,0.256028551713092,0.817735693666007
ENSG00000003249,0.644444444444445,0.288888888888889,0.0666666666666667,23.3,22.77,0.327862751425044,0.569138969936672,0.222190673974728,0.508044012381435
ENSG00000003393,0.688888888888889,0.244444444444444,0.0666666666666667,9.09,13.08,0.270435301261412,0.639951268315527,0.665885650200693,0.738195607433285
ENSG00000003400,0.822222222222222,0.155555555555556,0.0222222222222223,13.8,32.59,0.133818512111396,0.766270819291846,0.513171155026223,0.272340699680442
ENSG00000003402,0.355555555555556,0.644444444444445,-1.11022302462516e-16,10.8,21.4,0.736000048821271,0.0969743566893243,0.612166304654473,0.542798561389639
ENSG00000003436,0.822222222222222,0.155555555555556,0.0222222222222223,7.1,32.09,0.133818512111396,0.766270819291846,0.72431420686834,0.283024596987499
ENSG00000003509,0.711111111111111,0.288888888888889,0,13.9,32.06,0.243736299782789,0.569138969936672,0.509822126354278,0.283671974430203
ENSG00000003756,0.311111111111111,0.666666666666667,0.0222222222222223,9,13.4,0.787198011528017,0.0821037541243751,0.668631961935907,0.73151324961513
ENSG00000003987,0.777777777777778,0.133333333333333,0.0888888888888889,14.2,29.56,0.172879813053862,0.793519405400728,0.499771829375718,0.339942200382542
ENSG00000003989,0.177777777777778,0.8,0.0222222222222221,41.79,4.59,0.902125890615684,0.0259780511278607,0.0102339580387627,0.880787732514624
ENSG00000004059,0.133333333333333,0.111111111111111,0.755555555555556,2.09,4.8,0.927777274429821,0.818790854218501,0.845294814134372,0.878101517228298
ENSG00000004139,0.777777777777778,0.177777777777778,0.0444444444444444,4.39,35.9,0.172879813053862,0.73713825615485,0.794831162624216,0.207043065654267
ENSG00000004142,0.8,0.155555555555556,0.0444444444444444,5.27,22.94,0.152520425732804,0.766270819291846,0.773190315030199,0.503721734713551
ENSG00000004399,0.822222222222222,0.177777777777778,2.77555756156289e-17,8,58.5,0.133818512111396,0.73713825615485,0.698510572058444,0.0119972249304305
ENSG00000004455,0.244444444444444,0.733333333333333,0.0222222222222223,45.1,10.19,0.852045934673457,0.0477295504415627,0.00472073105595638,0.794460764006111
ENSG00000004468,0.666666666666667,0.288888888888889,0.0444444444444445,15.9,16.6,0.298520759842276,0.569138969936672,0.443009753063608,0.66035505519151
ENSG00000004478,0.177777777777778,0.822222222222222,0,22.08,5.49,0.902125890615684,0.0208967600613627,0.253871364111667,0.868977130676801
