gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000182287,0.0444444444444444,0.955555555555556,0,39,1.4,0.963336016770361,0.00482662958446212,0.0186098522185129,0.916554085401936
ENSG00000101132,0.0666666666666667,0.933333333333333,0,60.7,0.5,0.956176884338414,0.00628127224985087,4.69622985992402e-05,0.925013236138718
ENSG00000137124,0.0666666666666667,0.933333333333333,0,37.9,6.9,0.956176884338414,0.00628127224985087,0.0232423780430877,0.848893068385383
ENSG00000164109,0.0666666666666667,0.933333333333333,0,33.58,6.59,0.956176884338414,0.00628127224985087,0.0517455856941023,0.853475501401599
ENSG00000029993,0.0888888888888889,0.911111111111111,0,64.5,2.6,0.947930378317301,0.00811143787934721,1.1951927767706e-05,0.904185248236421
ENSG00000057935,0.0222222222222222,0.911111111111111,0.0666666666666667,23.98,0.1,0.96950867709861,0.00811143787934721,0.205560095130252,0.928555971142826
ENSG00000064933,0.0888888888888889,0.911111111111111,0,29.19,5.39,0.947930378317301,0.00811143787934721,0.103929509383995,0.870327975742269
ENSG00000087299,0.0888888888888889,0.911111111111111,0,65.3,2.49,0.947930378317301,0.00811143787934721,8.84979438420253e-06,0.905372300629579
ENSG00000111605,0.0888888888888889,0.911111111111111,0,22.59,6.09,0.947930378317301,0.00811143787934721,0.240346682539498,0.860668080223973
ENSG00000154277,0.0888888888888889,0.911111111111111,0,41.69,3,0.947930378317301,0.00811143787934721,0.0104645871407895,0.899776361242583
ENSG00000154642,0.0888888888888889,0.911111111111111,0,29.8,3.2,0.947930378317301,0.00811143787934721,0.0949789008818751,0.897517178733467
ENSG00000155097,0.0666666666666667,0.911111111111111,0.0222222222222223,39.2,3,0.956176884338414,0.00811143787934721,0.0178581547861825,0.899776361242583
ENSG00000158411,0.0222222222222222,0.911111111111111,0.0666666666666667,41.18,3,0.96950867709861,0.00811143787934721,0.0117125812017506,0.899776361242583
ENSG00000172728,0.0444444444444444,0.911111111111111,0.0444444444444445,13.69,0.6,0.963336016770361,0.00811143787934721,0.516854004925446,0.924106956579712
ENSG00000182810,0.0888888888888889,0.911111111111111,0,27.49,3.09,0.947930378317301,0.00811143787934721,0.132060530973799,0.898764268711524
