gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.511494252873563,0.425287356321839,0.0632183908045977,69.25,74.76,0.18659664618802,0.376039980913644,0.313004753012803,0.221474281684851
ENSG00000000005,0.235632183908046,0.350574712643678,0.413793103448276,25.96,51.73,0.74855401606476,0.564939414605531,0.832276958633915,0.503261235184578
ENSG00000000419,0.580459770114943,0.293103448275862,0.126436781609195,39.27,64.61,0.100163353409831,0.702732489287276,0.697496310215081,0.335242420697489
ENSG00000000457,0.367816091954023,0.568965517241379,0.0632183908045977,68.04,36.7,0.469005014066338,0.107890309944932,0.327507319151683,0.696451169912388
ENSG00000000460,0.660919540229885,0.298850574712644,0.0402298850574712,49.95,123.54,0.0413036891685894,0.689840621838324,0.563303308395244,0.0079850021272424
ENSG00000000938,0.270114942528736,0.574712643678161,0.155172413793103,128.58,39.66,0.682567173349455,0.101207187768904,0.00665491397158446,0.66076810599894
ENSG00000000971,0.316091954022989,0.614942528735632,0.0689655172413793,109.5,64.46,0.585043800655144,0.0626572897747901,0.0331758188676451,0.337084828619664
ENSG00000001036,0.528735632183908,0.258620689655172,0.21264367816092,34.46,61.92,0.16156746808293,0.774436796493766,0.751236422971221,0.368845389284728
ENSG00000001084,0.557471264367816,0.385057471264368,0.0574712643678161,70.02,77.21,0.124951817215895,0.476970644053235,0.303922441445692,0.197742382158225
ENSG00000001167,0.53448275862069,0.396551724137931,0.0689655172413793,36.59,49.03,0.153734880535155,0.447685001571246,0.72807921760809,0.53946312230639
ENSG00000001460,0.390804597701149,0.408045977011494,0.201149425287356,53.26,45.82,0.417689020322691,0.418681917253903,0.519316735522822,0.582057131328297
ENSG00000001461,0.339080459770115,0.597701149425287,0.0632183908045977,92.33,44.05,0.533780292360888,0.0774824310060672,0.103706401559426,0.605170393032048
ENSG00000001497,0.764367816091954,0.155172413793103,0.0804597701149425,17.73,105.88,0.0101454702723296,0.921806267302058,0.892321968767904,0.0347615896865563
ENSG00000001561,0.442528735632184,0.5,0.0574712643678161,90.47,55.98,0.308398754571575,0.213219363760605,0.11538319923077,0.446338074964407
ENSG00000001617,0.408045977011494,0.454022988505747,0.137931034482759,75.41,72.8,0.380054571138609,0.308437718382491,0.243916588778225,0.241579034468748
ENSG00000001626,0.281609195402299,0.540229885057471,0.17816091954023,74.42,52.69,0.659049597229589,0.146069617051746,0.254438747785227,0.490367476900528
ENSG00000001629,0.293103448275862,0.528735632183908,0.17816091954023,64.25,34.59,0.634897094051142,0.163620549248313,0.374555396855166,0.720814376111331
ENSG00000001630,0.137931034482759,0.0977011494252874,0.764367816091954,11.37,42.88,0.889260960943981,0.962958285151297,0.926760482393433,0.620253245082182
ENSG00000001631,0.0862068965517242,0.149425287356322,0.764367816091954,19.7,8.38,0.935138155674096,0.927055080935038,0.87959429290818,0.928911007591658
ENSG00000002016,0.419540229885057,0.471264367816092,0.109195402298851,42.85,39.75,0.355558480871931,0.270627959412716,0.654410346571177,0.659658070888758
ENSG00000002330,0.448275862068966,0.494252873563218,0.0574712643678161,58.42,54.39,0.297050121681676,0.224098784710353,0.450474935429701,0.46756792801116
ENSG00000002549,0.540229885057471,0.419540229885057,0.0402298850574713,72.48,92.86,0.146157872116757,0.39011441576897,0.275727455621129,0.0843127782364522
ENSG00000002586,0.408045977011494,0.563218390804598,0.0287356321839081,78.49,55.43,0.380054571138609,0.114885533377382,0.212736155968995,0.453667481197405
ENSG00000002587,0.344827586206897,0.459770114942529,0.195402298850575,93.41,73.1,0.52084187169563,0.29557831932496,0.0973328057090109,0.238438954598175
ENSG00000002726,0.344827586206897,0.448275862068966,0.206896551724138,131.11,45.74,0.52084187169563,0.321536535279118,0.00523143127916814,0.583108585894281
ENSG00000002745,0.367816091954023,0.419540229885057,0.21264367816092,73.02,45.6,0.469005014066338,0.39011441576897,0.269714853907571,0.584947197307859
ENSG00000002746,0.316091954022989,0.46551724137931,0.218390804597701,45.53,46.23,0.585043800655144,0.282971116597773,0.620751168151114,0.576659373645115
ENSG00000002822,0.14367816091954,0.103448275862069,0.752873563218391,8.57,13.9,0.882996017831399,0.959873556937371,0.938936009053532,0.900056802790785
ENSG00000002834,0.344827586206897,0.563218390804598,0.0919540229885057,67.86,53.6,0.52084187169563,0.114885533377382,0.329687843319755,0.478154339583771
ENSG00000002919,0.344827586206897,0.540229885057471,0.114942528735632,55.22,38.56,0.52084187169563,0.146069617051746,0.493123969363622,0.674220083001279
ENSG00000002933,0.32183908045977,0.522988505747127,0.155172413793103,114.29,52.92,0.572328100386617,0.172889312979202,0.0229374179237822,0.487279334512128
ENSG00000003056,0.5,0.396551724137931,0.103448275862069,42.96,46.19,0.204547053152383,0.447685001571246,0.65305047624011,0.577186635182567
ENSG00000003096,0.419540229885057,0.333333333333333,0.247126436781609,66.22,67.52,0.355558480871931,0.608009918377284,0.349814076362295,0.300327212836712
ENSG00000003137,0.385057471264368,0.436781609195402,0.17816091954023,81.09,53.77,0.430422104919379,0.348396875666811,0.18832552190122,0.475874691933006
ENSG00000003147,0.431034482758621,0.46551724137931,0.103448275862069,75.41,42.76,0.331645012466866,0.282971116597773,0.243916588778225,0.621790338780974
ENSG00000003249,0.459770114942529,0.402298850574713,0.137931034482759,53.52,71.98,0.274945781518649,0.433138439408979,0.515844524033162,0.250275306741868
ENSG00000003393,0.408045977011494,0.425287356321839,0.166666666666667,40.5,53.24,0.380054571138609,0.376039980913644,0.682962287004471,0.482984097235879
ENSG00000003400,0.32183908045977,0.620689655172414,0.057471264367816,102.99,39.31,0.572328100386617,0.0582401366623682,0.0528415553315591,0.66507158491083
ENSG00000003402,0.390804597701149,0.563218390804598,0.0459770114942529,106.95,58.54,0.417689020322691,0.114885533377382,0.0400077821930136,0.412502809398536
ENSG00000003436,0.402298850574713,0.528735632183908,0.0689655172413792,93.56,98.82,0.39249271510066,0.163620549248313,0.0964708196916155,0.0573631188735344
ENSG00000003509,0.53448275862069,0.373563218390805,0.0919540229885058,39.44,53.97,0.153734880535155,0.506381249961284,0.695505390585106,0.473193769776395
ENSG00000003756,0.304597701149425,0.603448275862069,0.0919540229885057,69.99,32.76,0.610197124298994,0.0722703596127686,0.304274090167876,0.741144173597303
ENSG00000003987,0.252873563218391,0.522988505747127,0.224137931034483,74.51,30.01,0.716480588350777,0.172889312979202,0.253472456702828,0.770188190846839
ENSG00000003989,0.339080459770115,0.477011494252874,0.183908045977012,72.58,69.2,0.533780292360888,0.258559738732843,0.274609058036468,0.280949329305234
ENSG00000004059,0.21264367816092,0.0919540229885057,0.695402298850575,11.44,26.49,0.788140034123606,0.965846402575962,0.926433871982377,0.804548755859635
ENSG00000004139,0.373563218390805,0.53448275862069,0.0919540229885057,65.76,44.3,0.456093382722841,0.154680634053546,0.355538930977218,0.601926160461613
ENSG00000004142,0.609195402298851,0.293103448275862,0.0977011494252874,33.69,74.05,0.0744864868021808,0.702732489287276,0.75934175872408,0.228644405942031
ENSG00000004399,0.425287356321839,0.551724137931035,0.0229885057471264,89.07,66.66,0.343523456296488,0.129830116347641,0.124768223394963,0.310475050715472
ENSG00000004455,0.71264367816092,0.224137931034483,0.0632183908045977,21.88,133.4,0.0212628334145191,0.835170551978289,0.864315212031556,0.00305724899791815
ENSG00000004468,0.350574712643678,0.545977011494253,0.103448275862069,131.99,75.1,0.507881449842195,0.137786668672613,0.00480393658977762,0.218086738034818
ENSG00000004478,0.793103448275862,0.201149425287356,0.00574712643678157,27.73,129.57,0.00650543890562139,0.869134596261829,0.816974015505465,0.00449249459780277
ENSG00000004487,0.747126436781609,0.189655172413793,0.0632183908045977,25.71,89.68,0.0130945641802223,0.884164184003455,0.834370010639102,0.102119634382874
ENSG00000004534,0.35632183908046,0.609195402298851,0.0344827586206896,51.98,41.27,0.494912701643038,0.0673312924929512,0.536384338290101,0.640708472400633
ENSG00000004660,0.408045977011494,0.362068965517241,0.229885057471264,54.82,52.99,0.380054571138609,0.53575719398017,0.49847070626511,0.486339607934924
ENSG00000004700,0.477011494252874,0.471264367816092,0.0517241379310345,54.34,62.18,0.243386351343792,0.270627959412716,0.504887068643426,0.365548414014806
ENSG00000004766,0.32183908045977,0.586206896551724,0.0919540229885057,62.36,32.06,0.572328100386617,0.088755678703204,0.398789221252712,0.748712981195526
ENSG00000004776,0.333333333333333,0.511494252873563,0.155172413793104,81.89,53.29,0.546683106645952,0.192408598663223,0.181176686218221,0.482313132083626
ENSG00000004777,0.46551724137931,0.431034482758621,0.103448275862069,46.96,84.25,0.264205961724306,0.362128535189382,0.602389934027747,0.138575201439019
ENSG00000004779,0.637931034482759,0.247126436781609,0.114942528735632,30.33,109.26,0.0541681685829678,0.795964409611884,0.792970919414018,0.0268774647629497
ENSG00000004799,0.396551724137931,0.517241379310345,0.0862068965517241,193.9,119.58,0.405041659965272,0.182485963618076,1.5498510796963e-06,0.0114149015500512
ENSG00000004809,0.258620689655172,0.385057471264368,0.35632183908046,66.71,47.27,0.705369945765342,0.476970644053235,0.343753225362631,0.562905081572529
ENSG00000004838,0.218390804597701,0.155172413793103,0.626436781609195,26.74,40.45,0.778600356510559,0.921806267302058,0.825637711204875,0.650977841550095
