gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000184678,0.183908045977012,0.804597701149425,0.0114942528735632,189.6,26.59,0.832108666887224,0.00298169395425041,3.09173810364438e-06,0.803617822826778
ENSG00000100330,0.183908045977012,0.787356321839081,0.0287356321839081,90.41,20.47,0.832108666887224,0.00415563148604792,0.115774831484176,0.855579955535868
ENSG00000119801,0.201149425287356,0.752873563218391,0.0459770114942528,150.6,31.56,0.806481472177171,0.00780531858518196,0.000656297073042822,0.754046760724966
ENSG00000136051,0.195402298850575,0.752873563218391,0.0517241379310345,101.68,25.63,0.815277278696621,0.00780531858518196,0.0577426166714426,0.812443653597185
ENSG00000068305,0.21264367816092,0.747126436781609,0.0402298850574713,100.96,26.06,0.788140034123606,0.00863246778062343,0.0605846852078302,0.808521134476419
ENSG00000104447,0.201149425287356,0.747126436781609,0.0517241379310345,120.86,35.56,0.806481472177171,0.00863246778062343,0.0133221592427377,0.709732520686341
ENSG00000108669,0.229885057471264,0.741379310344828,0.0287356321839081,108.16,35.11,0.758802536619901,0.00953551980466905,0.0366353976741332,0.714899179560013
ENSG00000112343,0.229885057471264,0.741379310344828,0.0287356321839081,120.81,35.58,0.758802536619901,0.00953551980466905,0.0133795488980465,0.709501877075295
ENSG00000112851,0.218390804597701,0.741379310344828,0.0402298850574712,108.64,19.45,0.778600356510559,0.00953551980466905,0.0353636819182384,0.863244314907677
ENSG00000114796,0.218390804597701,0.741379310344828,0.0402298850574712,115.32,24.73,0.778600356510559,0.00953551980466905,0.0211246479259941,0.820491394745526
ENSG00000159082,0.224137931034483,0.741379310344828,0.0344827586206896,119.75,36.05,0.768819689470756,0.00953551980466905,0.0146474281394221,0.704057229111626
ENSG00000109046,0.235632183908046,0.735632183908046,0.0287356321839081,95.55,34.57,0.74855401606476,0.0105201001216807,0.085561127314274,0.721040687036098
ENSG00000160445,0.206896551724138,0.735632183908046,0.0574712643678161,81.72,23.47,0.797434832461549,0.0105201001216807,0.182681415730432,0.831387424518248
ENSG00000204217,0.195402298850575,0.735632183908046,0.0689655172413793,117.7,26.88,0.815277278696621,0.0105201001216807,0.0173945475444218,0.8009029577139
