gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000120437,0.841269841269841,0.142857142857143,0.0158730158730159,17.19,132.85,0.00412848081912887,0.954943785936404,0.890861301952508,4.24071270432869e-05
ENSG00000132341,0.825396825396825,0.126984126984127,0.0476190476190477,10.85,120.65,0.00539033426536884,0.964976785315864,0.938824794655877,0.000340643477270586
ENSG00000130332,0.817460317460317,0.134920634920635,0.0476190476190477,9.16,87.29,0.0061415565857752,0.960216813490171,0.948306030062953,0.0262789621780478
ENSG00000161981,0.801587301587302,0.158730158730159,0.0396825396825397,21.89,108.26,0.00792707346347055,0.942717147011462,0.840969011310712,0.00214965552962576
ENSG00000178921,0.801587301587302,0.174603174603175,0.0238095238095238,18.68,115.35,0.00792707346347055,0.928018924571908,0.876437187746926,0.000774641115689145
ENSG00000183431,0.801587301587302,0.142857142857143,0.0555555555555555,8.59,91.92,0.00792707346347055,0.954943785936404,0.951226513225711,0.0161388564194357
ENSG00000092199,0.793650793650794,0.134920634920635,0.0714285714285715,13.65,87.88,0.00898024592231528,0.960216813490171,0.920192715867728,0.0247459345966424
ENSG00000100714,0.793650793650794,0.142857142857143,0.0634920634920635,21.57,97.84,0.00898024592231528,0.954943785936404,0.844777796059243,0.00820266860552632
ENSG00000106268,0.793650793650794,0.174603174603175,0.0317460317460318,20.28,100.64,0.00898024592231528,0.928018924571908,0.859516887282552,0.00583143343959469
ENSG00000136159,0.793650793650794,0.182539682539683,0.0238095238095239,10.55,99.16,0.00898024592231528,0.919660492982281,0.940600482244112,0.00699578123269462
ENSG00000145912,0.793650793650794,0.150793650793651,0.0555555555555556,11.59,96.62,0.00898024592231528,0.949122287347732,0.934267411829671,0.00947701903973996
ENSG00000147155,0.793650793650794,0.158730158730159,0.0476190476190477,20.66,103.97,0.00898024592231528,0.942717147011462,0.8552773950842,0.00381784486128411
ENSG00000171960,0.793650793650794,0.142857142857143,0.0634920634920635,10.88,77.75,0.00898024592231528,0.954943785936404,0.938644968195445,0.0640726838276711
ENSG00000182307,0.793650793650794,0.150793650793651,0.0555555555555556,9.09,94.15,0.00898024592231528,0.949122287347732,0.948672004044317,0.0125959343625109
ENSG00000213551,0.793650793650794,0.142857142857143,0.0634920634920635,17.29,88.12,0.00898024592231528,0.954943785936404,0.88993285003739,0.0241441609073044
ENSG00000079616,0.785714285714286,0.174603174603175,0.0396825396825397,16.39,87.51,0.0101540246237487,0.928018924571908,0.898086844170359,0.0256982889056723
ENSG00000101911,0.785714285714286,0.174603174603175,0.0396825396825397,20.77,105.26,0.0101540246237487,0.928018924571908,0.854034256116731,0.00322320682917066
ENSG00000106628,0.785714285714286,0.166666666666667,0.0476190476190477,16.36,101.38,0.0101540246237487,0.935693840863438,0.898350861743218,0.00531647010881553
