gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000171703,0.186046511627907,0.782945736434109,0.0310077519379846,80.15,14.97,0.889411981071376,0.000891347516182584,0.00710030444666088,0.94401889053669
ENSG00000187266,0.13953488372093,0.782945736434109,0.0775193798449613,91.03,11.95,0.928996196544578,0.000891347516182584,0.00126592019980554,0.956270314576261
ENSG00000125967,0.147286821705426,0.775193798449612,0.0775193798449612,66.56,17.05,0.923286547589734,0.00106405876858973,0.0406259498887565,0.934109652221051
ENSG00000172638,0.193798449612403,0.75968992248062,0.0465116279069767,103.46,23.44,0.88151259890552,0.0015047369001715,0.000122371281054745,0.89512010256785
ENSG00000130005,0.170542635658915,0.751937984496124,0.0775193798449613,102.15,13.18,0.90406320289762,0.00178254654791987,0.000159484290628398,0.951570534170533
ENSG00000148290,0.186046511627907,0.751937984496124,0.062015503875969,59.66,13.27,0.889411981071376,0.00178254654791987,0.0832324656973362,0.95121136551201
ENSG00000174080,0.201550387596899,0.751937984496124,0.0465116279069767,94.09,31.28,0.873222544488604,0.00178254654791987,0.000738715796448575,0.827402480430454
ENSG00000104870,0.217054263565891,0.736434108527132,0.0465116279069768,84.69,34.67,0.85545219620235,0.00248243224390632,0.00358443047722368,0.790968883673492
ENSG00000127415,0.224806201550388,0.728682170542636,0.0465116279069768,78.37,21.06,0.845965656852971,0.00291835364898385,0.00915407290546399,0.911237868121949
ENSG00000137161,0.232558139534884,0.728682170542636,0.0387596899224807,51.92,20.13,0.83607609213002,0.00291835364898385,0.163534901685966,0.917007824051965
ENSG00000166169,0.124031007751938,0.728682170542636,0.147286821705426,60.37,7.34,0.93942988950034,0.00291835364898385,0.0777053619120216,0.970714511238945
ENSG00000167671,0.201550387596899,0.728682170542636,0.0697674418604651,69.94,16.77,0.873222544488604,0.00291835364898385,0.027446289599261,0.935517777211988
ENSG00000095321,0.209302325581395,0.72093023255814,0.0697674418604651,95.24,10.78,0.864536982691758,0.00342212803313491,0.000599643646221559,0.960392446422532
ENSG00000105290,0.24031007751938,0.72093023255814,0.0387596899224807,89.33,41.26,0.825783546079004,0.00342212803313491,0.00169012735301599,0.708491016056123
ENSG00000154146,0.217054263565891,0.72093023255814,0.0620155038759691,87.36,29.61,0.85545219620235,0.00342212803313491,0.0023410419005615,0.843762474932272
ENSG00000172543,0.178294573643411,0.72093023255814,0.10077519379845,59.49,16.84,0.896926568577487,0.00342212803313491,0.0845986945840703,0.935167957009396
ENSG00000176919,0.162790697674419,0.72093023255814,0.116279069767442,58.09,27.13,0.910829608374265,0.00342212803313491,0.0964955875983519,0.866110276508835
ENSG00000178188,0.162790697674419,0.72093023255814,0.116279069767442,63.72,27.15,0.910829608374265,0.00342212803313491,0.0553147645809463,0.865939319528989
ENSG00000182511,0.186046511627907,0.72093023255814,0.0930232558139535,69.33,20.67,0.889411981071376,0.00342212803313491,0.0295186323072522,0.913692885942786
ENSG00000108784,0.248062015503876,0.713178294573643,0.0387596899224806,60.54,29.53,0.815089433846208,0.00400271564468191,0.0764242734842861,0.844519668037652
ENSG00000138030,0.224806201550388,0.713178294573643,0.062015503875969,75.24,24.67,0.845965656852971,0.00400271564468191,0.0140421909629969,0.886004036830122
ENSG00000166313,0.224806201550388,0.713178294573643,0.062015503875969,58.14,28.81,0.845965656852971,0.00400271564468191,0.0960505583940316,0.851225313300196
ENSG00000172819,0.193798449612403,0.713178294573643,0.0930232558139534,55.1,15.75,0.88151259890552,0.00400271564468191,0.125926307271432,0.940450397910037
ENSG00000185800,0.147286821705426,0.713178294573643,0.13953488372093,64.58,8.67,0.923286547589734,0.00400271564468191,0.0504800747366118,0.967025035747105
ENSG00000060491,0.193798449612403,0.705426356589147,0.10077519379845,53.54,8.46,0.88151259890552,0.00466998817496078,0.143548521562826,0.967631850245295
ENSG00000120129,0.263565891472868,0.705426356589147,0.0310077519379844,145.26,37.7,0.792509303849266,0.00466998817496078,2.49579468203365e-09,0.754862766056013
ENSG00000129355,0.193798449612403,0.705426356589147,0.10077519379845,78.05,13.96,0.88151259890552,0.00466998817496078,0.00957394295928793,0.948386531025401
ENSG00000162804,0.232558139534884,0.705426356589147,0.062015503875969,74.73,40.15,0.83607609213002,0.00466998817496078,0.0150219708025502,0.72337968468194
ENSG00000165475,0.255813953488372,0.705426356589147,0.0387596899224806,90.48,27.87,0.803996589128952,0.00466998817496078,0.00139110660133635,0.859684848569809
ENSG00000173992,0.217054263565891,0.705426356589147,0.0775193798449613,51.95,15.74,0.85545219620235,0.00466998817496078,0.163149097495729,0.940497250096037
ENSG00000182809,0.248062015503876,0.705426356589147,0.0465116279069767,88.95,31.4,0.815089433846208,0.00466998817496078,0.00180111811912609,0.826186271681655
ENSG00000186153,0.209302325581395,0.705426356589147,0.0852713178294573,55.03,14.55,0.864536982691758,0.00466998817496078,0.126683197413279,0.945869297814617
ENSG00000213445,0.209302325581395,0.705426356589147,0.0852713178294573,63.22,18.87,0.864536982691758,0.00466998817496078,0.0582894496282559,0.924369069422328
ENSG00000005961,0.193798449612403,0.697674418604651,0.108527131782946,63.02,38.96,0.88151259890552,0.0054347787483231,0.0595139401047388,0.738915838053541
ENSG00000011243,0.24031007751938,0.697674418604651,0.062015503875969,74.42,23.08,0.825783546079004,0.0054347787483231,0.0156457891066168,0.897685559241829
ENSG00000101049,0.170542635658915,0.697674418604651,0.131782945736434,69.42,31.76,0.90406320289762,0.0054347787483231,0.0292049445703462,0.822505038026377
ENSG00000101460,0.108527131782946,0.697674418604651,0.193798449612403,84.16,13.36,0.94862390888225,0.0054347787483231,0.00389245659745985,0.950850071153042
ENSG00000110628,0.302325581395349,0.697674418604651,0,109.37,42.43,0.729411729699908,0.0054347787483231,3.50583482423561e-05,0.692404600545018
ENSG00000140682,0.232558139534884,0.697674418604651,0.0697674418604651,85.29,34.08,0.83607609213002,0.0054347787483231,0.00326227039659743,0.797616404800771
ENSG00000144671,0.178294573643411,0.697674418604651,0.124031007751938,55.54,34.75,0.896926568577487,0.0054347787483231,0.121240921150668,0.790057728081492
ENSG00000181513,0.186046511627907,0.697674418604651,0.116279069767442,66.98,19.54,0.889411981071376,0.0054347787483231,0.0387508161525204,0.920519213378842
ENSG00000204444,0.193798449612403,0.697674418604651,0.108527131782946,66.28,21.55,0.88151259890552,0.0054347787483231,0.0419164702094736,0.908080116975926
ENSG00000071889,0.255813953488372,0.689922480620155,0.0542635658914729,47.34,12,0.803996589128952,0.00630892802781491,0.229286426073193,0.956086718998596
ENSG00000087076,0.201550387596899,0.689922480620155,0.108527131782946,81.14,34.74,0.873222544488604,0.00630892802781491,0.00614382287036164,0.790171750012787
ENSG00000099860,0.302325581395349,0.689922480620155,0.00775193798449614,107.37,37.19,0.729411729699908,0.00630892802781491,5.40627389358228e-05,0.761165328946279
