gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000000003,0.5625,0.34375,0.09375,17.3,16,0.377014363843319,0.525352226327239,0.231268862833762,0.734755856904442
ENSG00000000005,0.3125,0.125,0.5625,5.49,30.7,0.835961670942987,0.87684460327572,0.750072850900376,0.285336784235789
ENSG00000000419,0.90625,0.09375,0,1.9,27.8,0.0183580876788934,0.905895300220125,0.865018121276515,0.370153996022753
ENSG00000000457,0.5,0.5,0,7.1,17.9,0.503789935933179,0.236040246731448,0.685304156700491,0.68185518513377
ENSG00000000460,0.375,0.625,0,7.3,17.4,0.743818771856969,0.0892723076880434,0.676780735204144,0.696204787312741
ENSG00000000938,0.5625,0.21875,0.21875,11.16,18.2,0.377014363843319,0.754822106873133,0.499228805672082,0.673110645483859
ENSG00000000971,0.6875,0.25,0.0625,22.8,42.36,0.16878061340679,0.703054211488875,0.0821067950130521,0.0649632715163306
ENSG00000001036,0.625,0.375,0,11.34,13.4,0.262334979789334,0.462973046887882,0.490659971639773,0.799125360009361
ENSG00000001084,0.875,0.125,0,1.9,43.39,0.0269592809089061,0.87684460327572,0.865018121276515,0.055013108940741
ENSG00000001167,0.65625,0.34375,0,2.8,16.8,0.212557359516188,0.525352226327239,0.840311979841251,0.713031841840726
ENSG00000001460,0.65625,0.34375,0,9.46,20.2,0.212557359516188,0.525352226327239,0.579628505233669,0.612571033175173
ENSG00000001461,0.28125,0.71875,0,22.1,2.1,0.872734144920164,0.0347724524488012,0.0955211827379406,0.960505660055496
ENSG00000001497,0.59375,0.375,0.03125,5.5,19,0.317483483852608,0.462973046887882,0.749693525566068,0.649333588407086
ENSG00000001561,0.78125,0.1875,0.03125,3.89,26.1,0.0744760626805971,0.801301985446546,0.806662067709473,0.423351517743707
ENSG00000001617,0.59375,0.40625,0,15.57,37.23,0.317483483852608,0.401493066565284,0.298673991061519,0.136190009469923
ENSG00000001626,0.65625,0.15625,0.1875,3.9,45.51,0.212557359516188,0.84202586610167,0.806334581408768,0.0383371353342125
ENSG00000001629,0.65625,0.34375,0,5.17,11.5,0.212557359516188,0.525352226327239,0.762048500828408,0.839613138892861
ENSG00000001630,0.5625,0.375,0.0625,10.9,34.9,0.377014363843319,0.462973046887882,0.511605604489413,0.181861394300863
ENSG00000001631,0.65625,0.3125,0.03125,4.99,12,0.212557359516188,0.587114788853696,0.768644008924065,0.829513883455119
ENSG00000002016,0.5625,0.4375,0,4.3,26.67,0.377014363843319,0.342363119181891,0.792959322218589,0.405305763832184
ENSG00000002330,0.125,0.875,0,28.6,2.3,0.97420207349467,0.00469453267919917,0.0186162605914253,0.959099903363272
ENSG00000002549,0.5,0.5,0,5.4,29.9,0.503789935933179,0.236040246731448,0.753473004917095,0.307811694578619
ENSG00000002586,0.34375,0.65625,0,17.6,4.3,0.792915589427026,0.0665759871362281,0.220508720251765,0.942699102190991
ENSG00000002587,0.375,0.46875,0.15625,35.9,29.6,0.743818771856969,0.286867209632523,0.00156649031030154,0.316435840791146
ENSG00000002726,0.46875,0.28125,0.25,11.7,32.46,0.567855078975702,0.646789546823581,0.473539175895946,0.238835553303547
ENSG00000002745,0.59375,0.3125,0.09375,9.14,38,0.317483483852608,0.587114788853696,0.594498260331423,0.122992290760593
ENSG00000002746,0.4375,0.40625,0.15625,9.97,35.84,0.630180645949582,0.401493066565284,0.555701730795833,0.16239413986096
ENSG00000002822,0.5,0.5,0,11.7,13.3,0.503789935933179,0.236040246731448,0.473539175895946,0.80139814105631
ENSG00000002834,0.3125,0.6875,0,18,13.3,0.835961670942987,0.0486258930517767,0.206618116376533,0.80139814105631
ENSG00000002919,0.65625,0.34375,0,2.9,13.7,0.212557359516188,0.525352226327239,0.837394797617675,0.792213986005177
ENSG00000002933,0.40625,0.25,0.34375,15.1,11.54,0.689257810581329,0.703054211488875,0.318417445955635,0.838819884779088
ENSG00000003056,0.6875,0.28125,0.03125,7.17,8.7,0.16878061340679,0.646789546823581,0.682331871671975,0.888835554500503
ENSG00000003096,0.40625,0.5625,0.03125,17.9,8.4,0.689257810581329,0.150995334224788,0.21004130216879,0.893384986002551
ENSG00000003137,0.40625,0.4375,0.15625,29.4,11.24,0.689257810581329,0.342363119181891,0.0146778572546862,0.844707000203002
ENSG00000003147,0.65625,0.3125,0.03125,9.6,33.1,0.212557359516188,0.587114788853696,0.573085737837359,0.223014814297678
ENSG00000003249,0.46875,0.4375,0.09375,14.7,26.9,0.567855078975702,0.342363119181891,0.335639557195107,0.3980784931516
ENSG00000003393,0.875,0.125,0,0.7,25.27,0.0269592809089061,0.87684460327572,0.893682552967692,0.449908558718764
ENSG00000003400,0.53125,0.46875,0,9.3,45.5,0.439626689167662,0.286867209632523,0.587079000909154,0.0384048186023144
