gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000033030,1,0,0,0,29.3,0.00503882207664974,0.962910552904985,0.908222761234528,0.325160980906757
ENSG00000071462,1,0,0,0,19.3,0.00503882207664974,0.962910552904985,0.908222761234528,0.640257822649383
ENSG00000087365,1,0,0,0,16.4,0.00503882207664974,0.962910552904985,0.908222761234528,0.723998812162481
ENSG00000101146,1,0,0,0,22.4,0.00503882207664974,0.962910552904985,0.908222761234528,0.542718359989257
ENSG00000105821,1,0,0,0,25.4,0.00503882207664974,0.962910552904985,0.908222761234528,0.44573103730503
ENSG00000112592,1,0,0,0,27.1,0.00503882207664974,0.962910552904985,0.908222761234528,0.39182211651577
ENSG00000113013,1,0,0,0,31.7,0.00503882207664974,0.962910552904985,0.908222761234528,0.258393502108441
ENSG00000122882,1,0,0,0,24.5,0.00503882207664974,0.962910552904985,0.908222761234528,0.474750778098839
ENSG00000124562,1,0,0,0,27.69,0.00503882207664974,0.962910552904985,0.908222761234528,0.373533780283638
ENSG00000126067,1,0,0,0,24.7,0.00503882207664974,0.962910552904985,0.908222761234528,0.46828486138857
ENSG00000128908,1,0,0,0,27.29,0.00503882207664974,0.962910552904985,0.908222761234528,0.385904331995951
ENSG00000131844,1,0,0,0,33.9,0.00503882207664974,0.962910552904985,0.908222761234528,0.204104946523121
ENSG00000132792,1,0,0,0,15.6,0.00503882207664974,0.962910552904985,0.908222761234528,0.745295857621013
ENSG00000137574,1,0,0,0,30.2,0.00503882207664974,0.962910552904985,0.908222761234528,0.299292435689677
ENSG00000139343,1,0,0,0,42.7,0.00503882207664974,0.962910552904985,0.908222761234528,0.0615349301736686
ENSG00000140259,1,0,0,0,29,0.00503882207664974,0.962910552904985,0.908222761234528,0.333983055251636
ENSG00000141378,1,0,0,0,35.2,0.00503882207664974,0.962910552904985,0.908222761234528,0.175495674273425
ENSG00000143977,1,0,0,0,46.8,0.00503882207664974,0.962910552904985,0.908222761234528,0.0303877515752756
ENSG00000145741,1,0,0,0,21,0.00503882207664974,0.962910552904985,0.908222761234528,0.587465197946083
ENSG00000149100,1,0,0,0,25.8,0.00503882207664974,0.962910552904985,0.908222761234528,0.43291683875042
ENSG00000149658,1,0,0,0,18.9,0.00503882207664974,0.962910552904985,0.908222761234528,0.652340304650591
