gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000136279,0,1,0,28.37,0,0.995231145417831,0.000632719486121536,0.0199029600839291,0.973022744185681
ENSG00000142327,0,1,0,33.16,0,0.995231145417831,0.000632719486121536,0.00430211946055414,0.973022744185681
ENSG00000159761,0,1,0,45,0,0.995231145417831,0.000632719486121536,2.66840629354892e-05,0.973022744185681
ENSG00000174282,0,1,0,32.54,0,0.995231145417831,0.000632719486121536,0.00533383191369119,0.973022744185681
ENSG00000175662,0,1,0,40.9,0,0.995231145417831,0.000632719486121536,0.00019183060911121,0.973022744185681
ENSG00000186318,0,1,0,23.2,0,0.995231145417831,0.000632719486121536,0.0751071926758544,0.973022744185681
ENSG00000013563,0.03125,0.96875,0,26.1,0.1,0.992465947899891,0.00108049181567405,0.0371421983580937,0.972512702733812
ENSG00000100299,0.03125,0.96875,0,33.8,0.2,0.992465947899891,0.00108049181567405,0.00342790674025972,0.97199464654715
ENSG00000100359,0.03125,0.96875,0,28,0.7,0.992465947899891,0.00108049181567405,0.0221309634479246,0.969280940311731
ENSG00000101298,0.03125,0.96875,0,31.29,0.3,0.992465947899891,0.00108049181567405,0.0081033502250264,0.971468484415753
ENSG00000110455,0.03125,0.96875,0,34,0.1,0.992465947899891,0.00108049181567405,0.00318949960373038,0.972512702733812
ENSG00000134590,0.03125,0.96875,0,19.79,1.3,0.992465947899891,0.00108049181567405,0.151076197343906,0.96574073765625
ENSG00000142459,0.03125,0.96875,0,25.5,0.5,0.992465947899891,0.00108049181567405,0.0433328802028525,0.970391475748438
ENSG00000145882,0.03125,0.96875,0,23.9,0.5,0.992465947899891,0.00108049181567405,0.0639654697276598,0.970391475748438
ENSG00000157637,0.03125,0.96875,0,27.01,0.4,0.992465947899891,0.00108049181567405,0.0291486127392984,0.970934124781005
ENSG00000179364,0.03125,0.96875,0,35.4,0.5,0.992465947899891,0.00108049181567405,0.00189754234595418,0.970391475748438
ENSG00000182809,0.03125,0.96875,0,40.99,0.99,0.992465947899891,0.00108049181567405,0.000184149651527021,0.967609596576628
ENSG00000198873,0.03125,0.96875,0,38.8,0.8,0.992465947899891,0.00108049181567405,0.00048262719665304,0.968712868558912
ENSG00000005882,0.0625,0.9375,0,34.3,1.49,0.988375629776983,0.00180351179553806,0.00285980214307457,0.96455212265794
ENSG00000012822,0.03125,0.9375,0.03125,42.92,0.2,0.992465947899891,0.00180351179553806,7.46774332531786e-05,0.97199464654715
