gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000156273,0.828877005347594,0.160427807486631,0.0106951871657754,18.88,171.17,0.00187458032234777,0.910882723568031,0.902384796725586,0.00161863173726706
ENSG00000134371,0.812834224598931,0.133689839572193,0.053475935828877,11.8,118.52,0.00258969171016488,0.93844835383102,0.940851127289607,0.0786661059262966
ENSG00000134954,0.812834224598931,0.13903743315508,0.0481283422459893,17.22,178.21,0.00258969171016488,0.933547514660907,0.912735049667452,0.000819531884424851
ENSG00000150457,0.812834224598931,0.122994652406417,0.0641711229946524,16.39,143.07,0.00258969171016488,0.947399391498789,0.917592262401936,0.0166853505762029
ENSG00000108669,0.807486631016043,0.176470588235294,0.0160427807486631,20.58,130.61,0.00287797055901906,0.890428578038195,0.890880213868995,0.0387422958122723
ENSG00000108854,0.807486631016043,0.155080213903743,0.0374331550802139,23.46,163.76,0.00287797055901906,0.917026373933087,0.869225043503579,0.00317724462454982
ENSG00000125633,0.807486631016043,0.13903743315508,0.053475935828877,12.17,136.31,0.00287797055901906,0.933547514660907,0.939191376116362,0.0267335089961662
ENSG00000083799,0.802139037433155,0.18716577540107,0.0106951871657754,23.31,150.75,0.00319487697033005,0.875040005568088,0.870421473605381,0.00936661054911669
ENSG00000116903,0.796791443850267,0.106951871657754,0.0962566844919786,13.77,132.52,0.00354284446382858,0.958854475387821,0.931591608194031,0.0343048437362179
ENSG00000137936,0.796791443850267,0.18716577540107,0.0160427807486631,26.87,204.61,0.00354284446382858,0.875040005568088,0.839957508923968,4.49919816403188e-05
ENSG00000159256,0.796791443850267,0.171122994652406,0.0320855614973262,17.66,133.91,0.00354284446382858,0.897591017798709,0.910074977478996,0.0313453528571364
ENSG00000095951,0.79144385026738,0.133689839572193,0.0748663101604277,17.9,154.88,0.00392446850599959,0.93844835383102,0.908598864086429,0.00674004567992292
ENSG00000173559,0.79144385026738,0.192513368983957,0.0160427807486631,37.5,206.14,0.00392446850599959,0.86680411745861,0.72369689780211,3.73823661619088e-05
ENSG00000008294,0.786096256684492,0.171122994652406,0.0427807486631016,19.28,138.09,0.00434251268720498,0.897591017798709,0.899761319242179,0.0236914458799128
ENSG00000141458,0.786096256684492,0.192513368983957,0.0213903743315508,30.33,152.35,0.00434251268720498,0.86680411745861,0.806191694628762,0.0082582381865749
